sex,eda_sdem,anios_esc,ur_coei,n_hog,n_pro_viv,h_mud,empleo
2,26,16,1,1,4,0,0
2,20,9,1,1,120,0,1
1,3,0,2,1,85,0,0
2,52,12,1,1,33,0,0
2,1,0,1,1,113,0,1
2,32,9,2,1,16,0,0
1,16,9,1,1,54,0,0
1,22,12,1,1,108,0,0
1,13,6,2,1,96,0,0
2,41,17,1,1,21,0,1
1,63,12,2,1,19,0,0
1,8,0,2,1,7,0,0
1,5,0,1,1,73,0,1
2,16,9,2,1,77,0,1
 , ,0,1,1,72,0,1
2,57,6,2,1,4,0,0
2,29,16,1,1,117,0,1
2,20,16,1,1,50,0,1
1,27,11,1,1,37,0,1
2,64,3,2,1,15,0,0
1,55,6,2,1,100,0,0
2,10,0,2,1,81,0,1
2,27,9,1,1,151,1,1
2,16,9,2,1,92,0,0
2,3,0,1,1,41,0,0
1,26,12,2,1,88,0,1
1,3,0,1,1,53,0,0
2,24,16,2,1,138,0,0
1,40,9,1,1,145,0,1
1,8,0,1,1,65,0,1
2,19,13,1,1,119,0,0
2,84,3,2,1,102,0,1
1,10,0,2,1,70,0,1
1,29,9,2,1,113,0,1
1,43,9,1,1,95,0,1
2,37,12,1,1,78,0,0
2,22,14,1,1,127,0,1
1,42,17,1,1,140,0,1
1,26,12,1,1,16,1,1
1,61,6,2,1,44,0,1
1,39,15,2,1,245,0,1
2,4,0,1,1,43,0,0
2,6,0,1,2,125,0,1
1,46,9,1,1,21,0,1
1,17,10,1,1,16,0,0
2,51,9,2,1,10,0,0
2,32,12,1,1,120,0,1
1,54,9,2,1,77,0,1
1,14,8,1,1,103,0,0
1,38,9,1,1,5,0,1
1,14,6,2,1,86,0,1
1,18,7,2,1,46,0,1
2,39,9,1,1,78,0,1
2,76,0,2,1,60,0,0
1,56,12,2,1,45,0,0
2,40,12,1,1,105,0,0
2,17,11,1,1,11,0,1
2,17,11,1,1,28,0,1
2,31,16,1,1,95,1,0
1,21,9,1,1,61,0,1
1,25,12,1,1,89,0,0
2,6,0,1,1,28,0,1
2,56,9,1,1,5,0,0
1,24,17,2,1,131,0,1
2,25,12,1,1,139,0,1
1,36,6,2,1,38,0,1
2,44,6,2,1,43,0,0
2,23,3,1,1,5,0,0
1,2,0,1,1,19,0,1
2,54,12,1,1,53,0,1
2,22,9,2,1,80,0,1
1,52,9,1,1,112,0,1
2,54,9,1,1,86,0,1
1,34,17,1,1,17,0,0
1,16,9,2,1,61,0,1
1,52,9,1,1,69,0,1
1,17,11,1,1,14,0,1
1,19,9,1,1,87,0,0
2,57,12,1,1,31,0,0
2,15,6,2,1,43,0,0
1,36,9,2,1,84,0,1
2,13,5,2,1,28,0,0
1,2,0,2,1,4,0,0
2,36,9,1,1,5,0,0
1,34,12,1,1,10,0,0
2,81,7,1,1,61,0,0
1,31,16,1,1,156,0,0
1,49,16,1,1,64,0,1
1,5,0,2,1,150,0,0
1,15,10,2,1,94,1,1
1,7,0,2,1,17,0,1
2,9,0,2,1,118,0,0
1,3,0,1,1,42,0,0
2,55,6,2,1,132,0,1
1,20,12,2,1,73,0,1
2,18,12,1,1,63,0,0
2,20,12,2,1,27,0,0
2,41,12,1,1,91,0,0
1,27,6,1,1,132,0,1
2,27,9,1,1,124,0,0
2,9,0,2,1,14,0,1
2,6,0,1,1,52,0,1
2,26,8,2,1,9,0,0
1,12,4,2,1,46,0,0
2,0,0,2,1,120,0,0
2,42,3,2,1,91,0,1
2,44,12,2,1,40,0,1
2,24,12,2,1,103,0,1
2,35,19,1,1,144,0,0
2,16,6,2,1,48,0,0
2,22,15,1,1,114,0,0
2,53,6,2,1,71,0,1
1,54,12,2,1,24,0,0
2,52,16,1,1,46,0,0
1,31,9,1,1,143,0,0
2,31,16,1,1,53,0,0
2,43,6,2,1,139,0,0
2,47,12,1,1,62,0,0
 , ,0,1,1,118,0,0
1,25,9,1,1,111,0,0
2,53,17,1,1,25,0,0
2,57,17,2,1,93,0,0
1,7,0,1,1,50,0,0
1,48,6,2,1,35,0,1
2,40,12,1,1,4,0,1
2,18,12,1,1,39,0,1
2,13,6,2,1,35,0,0
2,11,0,1,1,23,0,1
2,12,7,1,1,94,0,0
2,1,0,1,1,11,0,0
1,15,8,1,1,54,0,1
2,44,9,1,1,31,0,1
2,53,12,2,1,85,0,1
2,2,0,2,1,54,0,0
2,30,9,1,1,78,0,1
2,6,0,1,1,183,0,1
2,71,2,1,1,64,0,0
2,43,9,1,1,111,0,0
2,27,16,1,1,60,0,1
2,63,6,2,1,31,0,1
 , ,0,2,1,54,0,0
1,18,9,2,1,2,0,1
1,17,9,2,1,19,0,0
1,1,0,2,1,150,0,0
2,25,12,1,1,29,0,0
2,20,12,2,1,57,0,1
2,28,15,1,1,39,0,1
1,42,6,1,1,88,0,1
2,66,6,1,1,49,0,1
1,26,9,1,1,1,0,0
1,8,0,1,1,25,0,0
2,19,12,2,1,95,0,1
2,53,6,2,1,63,0,0
1,42,6,2,1,39,0,0
2,20,12,1,1,71,0,0
1,37,16,2,1,9,0,0
1,16,9,2,1,15,0,1
2,12,5,1,1,105,0,0
1,11,0,2,1,106,0,0
1,29,9,2,1,103,0,1
2,82,6,1,1,126,0,1
1,5,0,2,1,141,0,0
1,14,7,2,1,4,0,0
1,10,0,2,1,98,0,1
1,10,0,1,1,151,0,1
2,37,12,1,1,86,0,0
2,85,0,2,1,103,0,0
2,48,9,2,1,47,0,1
2,52,8,1,1,137,0,1
1,16,8,1,1,118,0,0
1,64,6,2,1,90,0,1
1,61,12,2,2,154,0,1
1,19,10,1,1,106,0,0
1,16,10,2,1,35,0,1
2,36,12,1,1,121,0,0
2,20,11,2,1,4,0,1
1,49,9,1,1,36,0,1
2,50,9,2,1,58,0,1
2,13,6,1,1,55,0,0
1,69,19,1,1,10,0,1
1,11,0,1,1,67,0,1
2,35,17,1,1,52,0,1
1,5,0,2,1,52,0,1
2,65,6,1,1,46,0,1
2,35,6,2,1,7,0,1
2,53,9,1,1,5,0,0
2,45,17,1,1,77,0,1
2,77,9,1,1,90,0,1
